,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.8077561855316162,0.02936597747131182,0.009877824783325195,0.00020626873175612877,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.9984446892421319,0.9986889409532659,0.998811405024883,0.998615401544983,0.9988082805526138,0.9986737434635755,0.0001364928667056201,36
1,1.4838350296020508,0.04040490791717166,0.011890745162963868,0.00027946329526513784,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9992813733104561,0.999291278241419,0.9993629886903249,0.9993673324688451,0.9994134374864734,0.9993432820395036,4.985107365973829e-05,26
2,2.2951533794403076,0.025106210773047713,0.015433788299560547,0.0012280969012448276,0.1,3,150,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150}",0.9994697700371744,0.9994547033824166,0.9994834713892836,0.9995130776691986,0.9995395594768445,0.9994921163909835,3.054193960246225e-05,12
3,3.7621568202972413,0.20918322909590759,0.020429229736328124,0.0021095116551747774,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9995281132321071,0.9995319388127737,0.9995243181487029,0.9995866932841221,0.9995868456974035,0.9995515818350219,2.8831531646797755e-05,8
4,1.0985687255859375,0.025352442678159417,0.012489938735961914,0.001005100416390878,0.1,4,50,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50}",0.9989806697417949,0.9992555754302475,0.9993171884992595,0.9992713121015536,0.9993053383666295,0.9992260168278971,0.00012467938531550955,27
5,2.1708443641662596,0.03713816471015096,0.015157175064086915,0.0005177153113694206,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.9993638611435007,0.9995331962223454,0.9994975696178146,0.999546303764547,0.9995471801409153,0.9994976221778245,6.925809454644032e-05,11
6,3.4341065883636475,0.13555199584195832,0.01928081512451172,0.0005037053154864226,0.1,4,150,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 150}",0.9994804713673154,0.9995772817639947,0.9995069811379419,0.9995977432470248,0.9995887889667416,0.9995502532966037,4.735573604945602e-05,9
7,4.615479373931885,0.03061026868064482,0.022644996643066406,0.00047389613595119016,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.9995335971877666,0.9995895129298283,0.9995259565914781,0.9996105459626636,0.9996026204720301,0.9995724466287534,3.556369307513903e-05,6
8,1.426656436920166,0.022680895103005493,0.01255340576171875,0.0005047295619410845,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.9991726081898765,0.999495893071719,0.9994671631681722,0.9994559988953086,0.9995200124735029,0.9994223351597158,0.00012685265543004346,17
9,2.759349012374878,0.03396456750230147,0.017460203170776366,0.0008487452626600397,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9994892685461858,0.9996207957558387,0.9995350632850426,0.9995929422286602,0.9995971335938991,0.9995670406819253,4.8035696007534054e-05,7
10,4.272505903244019,0.14439566912589386,0.021435976028442383,0.0007467725558403461,0.1,5,150,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}",0.9995712993829254,0.9996502496224723,0.999521955742841,0.999626206427329,0.9995936280884266,0.999592667852799,4.4493217982355916e-05,4
11,5.411293840408325,0.008880259611298702,0.026116132736206055,0.0008177199636637838,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.999601499222078,0.9996594325226776,0.9995056856250499,0.9996427813716829,0.9995868838007239,0.9995992565084425,5.3719996814840474e-05,1
12,1.6413869380950927,0.03207620347888527,0.014028549194335938,0.00044163245901578693,0.1,6,50,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50}",0.9994301256077194,0.9995440556686461,0.9995165831746712,0.9994818710498287,0.9995281665840587,0.9995001604169846,4.0546814776074064e-05,10
13,3.1074610233306883,0.015777175461299857,0.01849822998046875,0.0007925039508280267,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9996221783048773,0.9996120700954778,0.9995520573659206,0.9995909608560017,0.9995639074985506,0.9995882348241656,2.693822023658467e-05,5
14,5.145153999328613,0.08045944669075142,0.025183963775634765,0.0011200821455202145,0.1,6,150,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}",0.9996342506239333,0.9996540599545076,0.99950137994985,0.9996207957558388,0.9995791107233717,0.9995979194015003,5.416397160687692e-05,2
15,6.903621435165405,0.03788751106864675,0.03105645179748535,0.0005043064456725289,0.1,6,200,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9996432382179308,0.9996456391207096,0.9994862910349898,0.9996321505453043,0.9995724045389894,0.9995959446915847,6.098383548565851e-05,3
16,0.976408576965332,0.01149528918980602,0.012338876724243164,0.00040978043729335804,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.993504711517655,0.9933875497857986,0.9945341930052058,0.9932495776627972,0.9932736589612609,0.9935899381865434,0.0004807743019095829,59
17,1.8792099952697754,0.005888655823687607,0.014794015884399414,0.0006440912682056228,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.9962907894908215,0.9963799559464651,0.9964150110011906,0.995418151934094,0.9962421362367454,0.9961492089218632,0.0003706804007393266,53
